epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,603.936,0.75189,0.5315,0.84644,0.81436,0.64706,0.69609,0.39881,1.5219,1.88822,1.16198,0.000247716,0.000247716,0.000247716
131,607.847,0.73238,0.52038,0.83308,0.84257,0.64706,0.69289,0.39608,1.52363,1.8843,1.16706,0.000236714,0.000236714,0.000236714
132,613.489,0.73993,0.52982,0.84703,0.95453,0.61765,0.70221,0.39193,1.53374,1.85355,1.18573,0.000225712,0.000225712,0.000225712
133,617.475,0.72754,0.51025,0.84934,0.96893,0.61765,0.70956,0.40367,1.52853,1.81237,1.18581,0.00021471,0.00021471,0.00021471
134,621.477,0.80767,0.53591,0.85755,0.96169,0.61765,0.7174,0.41323,1.50057,1.74415,1.16169,0.000203707,0.000203707,0.000203707
135,627.186,0.77253,0.51558,0.83555,0.933,0.61765,0.7221,0.41884,1.49307,1.76869,1.15064,0.000192705,0.000192705,0.000192705
136,631.624,0.69913,0.50512,0.82676,0.93022,0.61765,0.70667,0.41592,1.50395,1.83824,1.15428,0.000181703,0.000181703,0.000181703
137,635.559,0.76564,0.51632,0.84789,0.87626,0.61765,0.70213,0.41452,1.5169,1.87668,1.16048,0.000170701,0.000170701,0.000170701
138,641.73,0.72384,0.49466,0.84471,0.85761,0.61765,0.70813,0.42062,1.50396,1.92225,1.14629,0.000159699,0.000159699,0.000159699
139,645.899,0.75103,0.50735,0.84748,0.83049,0.63235,0.71248,0.42364,1.50065,1.95751,1.14083,0.000148696,0.000148696,0.000148696
140,649.952,0.7334,0.49999,0.84491,0.8289,0.63235,0.71346,0.42162,1.51416,1.95505,1.14806,0.000137694,0.000137694,0.000137694
141,660.015,0.74181,0.55186,0.84389,0.82834,0.64706,0.70194,0.40733,1.52947,1.92558,1.16077,0.000126692,0.000126692,0.000126692
142,664.667,0.68371,0.49368,0.83693,0.82359,0.64706,0.69739,0.39389,1.54209,1.88305,1.17719,0.00011569,0.00011569,0.00011569
143,669.934,0.70008,0.49678,0.82266,0.8631,0.61765,0.68922,0.39458,1.53602,1.87853,1.1792,0.000104688,0.000104688,0.000104688
144,674.248,0.73907,0.52013,0.83402,0.84751,0.61765,0.67796,0.38311,1.52195,1.88678,1.17133,9.36854e-05,9.36854e-05,9.36854e-05
145,678.32,0.65574,0.49712,0.84116,0.9283,0.58824,0.67628,0.39097,1.51277,1.90846,1.16347,8.26832e-05,8.26832e-05,8.26832e-05
146,682.893,0.69568,0.49627,0.83397,0.85721,0.618,0.6765,0.39033,1.51944,1.91442,1.1613,7.1681e-05,7.1681e-05,7.1681e-05
147,687.306,0.69332,0.47606,0.85669,0.87492,0.61721,0.67531,0.38826,1.51097,1.9363,1.1535,6.06788e-05,6.06788e-05,6.06788e-05
148,691.411,0.64504,0.47658,0.83773,0.87303,0.60678,0.67844,0.38825,1.52034,1.93158,1.15873,4.96766e-05,4.96766e-05,4.96766e-05
149,695.054,0.70273,0.4799,0.8469,0.89164,0.60294,0.67857,0.38592,1.52219,1.94106,1.16241,3.86744e-05,3.86744e-05,3.86744e-05
150,700.368,0.67961,0.48081,0.84838,0.89128,0.61765,0.68033,0.39097,1.52451,1.92372,1.16493,2.76722e-05,2.76722e-05,2.76722e-05
